TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.177mm"
 I=451, J=129, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 1.911599934E-02 0.000000000E+00 5.335202026E+02 -3.404915571E+00
 1.929300092E-02 0.000000000E+00 5.263144531E+02 -3.492958069E+00
 1.947000064E-02 0.000000000E+00 5.191863403E+02 -3.498454571E+00
 1.964700036E-02 0.000000000E+00 5.127422485E+02 -3.407228708E+00
 1.982400008E-02 0.000000000E+00 5.075029907E+02 -3.218458176E+00
 2.000099979E-02 0.000000000E+00 5.037648926E+02 -3.031526804E+00
 2.017799951E-02 0.000000000E+00 5.014821777E+02 -2.920908928E+00
 2.035499923E-02 0.000000000E+00 5.003093262E+02 -2.938655376E+00
 2.053200081E-02 0.000000000E+00 4.997629089E+02 -3.056698561E+00
 2.070900053E-02 0.000000000E+00 4.993482971E+02 -3.161442041E+00
 2.088600025E-02 0.000000000E+00 4.986127625E+02 -3.224695444E+00
 2.106299996E-02 0.000000000E+00 4.971513672E+02 -3.248621464E+00
 2.123999968E-02 0.000000000E+00 4.947500916E+02 -3.215448618E+00
 2.141699940E-02 0.000000000E+00 4.914527588E+02 -3.149662256E+00
 2.159399912E-02 0.000000000E+00 4.873973999E+02 -3.109675884E+00
 2.177100070E-02 0.000000000E+00 4.827914124E+02 -3.109312773E+00
 2.194800042E-02 0.000000000E+00 4.778694458E+02 -3.095083952E+00
 2.212500013E-02 0.000000000E+00 4.728145447E+02 -3.047022820E+00
 2.230199985E-02 0.000000000E+00 4.678958435E+02 -2.937411070E+00
 2.247899957E-02 0.000000000E+00 4.632252502E+02 -2.783322811E+00
 2.265599929E-02 0.000000000E+00 4.589211426E+02 -2.707956076E+00
 2.283300087E-02 0.000000000E+00 4.551338196E+02 -2.714133501E+00
 2.301000059E-02 0.000000000E+00 4.516806641E+02 -2.742743254E+00
 2.318700030E-02 0.000000000E+00 4.483080444E+02 -2.871258497E+00
 2.336400002E-02 0.000000000E+00 4.450679321E+02 -3.010787725E+00
 2.354099974E-02 0.000000000E+00 4.419211731E+02 -3.079842806E+00
 2.371799946E-02 0.000000000E+00 4.386033630E+02 -3.114317179E+00
 2.389499918E-02 0.000000000E+00 4.350629272E+02 -3.203099489E+00
 2.407200076E-02 0.000000000E+00 4.310955200E+02 -3.313298225E+00
 2.424900047E-02 0.000000000E+00 4.267292480E+02 -3.344552755E+00
 2.442600019E-02 0.000000000E+00 4.221802673E+02 -3.391942263E+00
 2.460299991E-02 0.000000000E+00 4.177160950E+02 -3.326908350E+00
 2.477999963E-02 0.000000000E+00 4.131844788E+02 -3.333853245E+00
 2.495699935E-02 0.000000000E+00 4.086668701E+02 -3.455763340E+00
 2.513400093E-02 0.000000000E+00 4.044287415E+02 -3.481208086E+00
 2.531100065E-02 0.000000000E+00 4.003690186E+02 -3.518065453E+00
 2.548800036E-02 0.000000000E+00 3.964729309E+02 -3.596248388E+00
 2.566500008E-02 0.000000000E+00 3.924203796E+02 -3.790849924E+00
 2.584199980E-02 0.000000000E+00 3.884066772E+02 -3.970814705E+00
 2.601899952E-02 0.000000000E+00 3.845528870E+02 -4.071718693E+00
 2.619599923E-02 0.000000000E+00 3.806765747E+02 -4.074183464E+00
 2.637300082E-02 0.000000000E+00 3.768043213E+02 -3.825289965E+00
 2.655000053E-02 0.000000000E+00 3.729089966E+02 -3.390505791E+00
 2.672700025E-02 0.000000000E+00 3.690777588E+02 -2.873615980E+00
 2.690399997E-02 0.000000000E+00 3.650960999E+02 -2.328821659E+00
 2.708099969E-02 0.000000000E+00 3.608547668E+02 -1.777734518E+00
 2.725799941E-02 0.000000000E+00 3.563798523E+02 -1.217262745E+00
 2.743499912E-02 0.000000000E+00 3.518220215E+02 -6.592187881E-01
 2.761200070E-02 0.000000000E+00 3.473914795E+02 -1.734147370E-01
 2.778900042E-02 0.000000000E+00 3.430727539E+02 4.393276758E-03
 2.796600014E-02 0.000000000E+00 3.388217773E+02 -2.082635611E-01
 2.814299986E-02 0.000000000E+00 3.344650574E+02 -5.563495755E-01
 2.831999958E-02 0.000000000E+00 3.298475647E+02 -6.770176291E-01
 2.849699929E-02 0.000000000E+00 3.249393616E+02 -4.588674903E-01
 2.867400087E-02 0.000000000E+00 3.196941528E+02 -1.753554940E-01
 2.885100059E-02 0.000000000E+00 3.141234436E+02 -6.703400612E-02
 2.902800031E-02 0.000000000E+00 3.083539124E+02 2.648173645E-02
 2.920500003E-02 0.000000000E+00 3.024361572E+02 2.501165271E-01
 2.938199975E-02 0.000000000E+00 2.964151917E+02 4.844188094E-01
 2.955899946E-02 0.000000000E+00 2.903200989E+02 4.708042741E-01
 2.973599918E-02 0.000000000E+00 2.841401978E+02 1.273156554E-01
 2.991300076E-02 0.000000000E+00 2.778560486E+02 -4.822455049E-01
 3.009000048E-02 0.000000000E+00 2.714480591E+02 -1.187268257E+00
 3.026700020E-02 0.000000000E+00 2.648929749E+02 -1.608904839E+00
 3.044399992E-02 0.000000000E+00 2.580644226E+02 -1.592778802E+00
 3.062099963E-02 0.000000000E+00 2.507114716E+02 -1.268422246E+00
 3.079799935E-02 0.000000000E+00 2.426317291E+02 -9.716923833E-01
 3.097499907E-02 0.000000000E+00 2.339345093E+02 -9.118568897E-01
 3.115200065E-02 0.000000000E+00 2.248724365E+02 -7.163208127E-01
 3.132899851E-02 0.000000000E+00 2.154340515E+02 -5.169674754E-01
 3.150599822E-02 0.000000000E+00 2.052910614E+02 -4.902564585E-01
 3.168300167E-02 0.000000000E+00 1.943131409E+02 -2.862106264E-01
 3.186000139E-02 0.000000000E+00 1.824837341E+02 3.993366286E-02
 3.203700110E-02 0.000000000E+00 1.698347473E+02 -2.364483029E-01
 3.221400082E-02 0.000000000E+00 1.574093323E+02 -1.494466782E+00
 3.239100054E-02 0.000000000E+00 1.456787109E+02 -2.908646822E+00
 3.256800026E-02 0.000000000E+00 1.336041260E+02 -3.753032446E+00
 3.274499997E-02 0.000000000E+00 1.208685532E+02 -4.403086185E+00
 3.292199969E-02 0.000000000E+00 1.078376160E+02 -5.360167027E+00
 3.309899941E-02 0.000000000E+00 9.456099701E+01 -6.406924725E+00
 3.327599913E-02 0.000000000E+00 8.132112122E+01 -6.602839947E+00
 3.345299885E-02 0.000000000E+00 6.824082184E+01 -5.975476742E+00
 3.362999856E-02 0.000000000E+00 5.530679321E+01 -5.505236626E+00
 3.380699828E-02 0.000000000E+00 4.214437866E+01 -5.298887730E+00
 3.398400173E-02 0.000000000E+00 2.900233650E+01 -5.020283222E+00
 3.416100144E-02 0.000000000E+00 1.640620422E+01 -4.597872257E+00
 3.433800116E-02 0.000000000E+00 4.126558781E+00 -3.872551918E+00
 3.451500088E-02 0.000000000E+00 -7.479875565E+00 -2.541867971E+00
 3.469200060E-02 0.000000000E+00 -1.840131378E+01 -6.451234221E-01
 3.486900032E-02 0.000000000E+00 -2.884749985E+01 1.219037294E+00
 3.504600003E-02 0.000000000E+00 -3.932140732E+01 2.632455349E+00
 3.522299975E-02 0.000000000E+00 -5.073046875E+01 2.927827597E+00
 3.539999947E-02 0.000000000E+00 -6.238996506E+01 1.797000885E+00
 3.557699919E-02 0.000000000E+00 -7.417863464E+01 1.583815962E-01
 3.575399891E-02 0.000000000E+00 -8.541344452E+01 -1.478413820E+00
 3.593099862E-02 0.000000000E+00 -9.547782898E+01 -2.891483307E+00
 3.610799834E-02 0.000000000E+00 -1.047378922E+02 -4.265415668E+00
 3.628500178E-02 0.000000000E+00 -1.132406464E+02 -4.943096638E+00
 3.646200150E-02 0.000000000E+00 -1.211853256E+02 -4.330953598E+00
 3.663900122E-02 0.000000000E+00 -1.285590057E+02 -3.430595160E+00
 3.681600094E-02 0.000000000E+00 -1.347928467E+02 -3.080486774E+00
 3.699300066E-02 0.000000000E+00 -1.399887390E+02 -3.216326237E+00
 3.717000037E-02 0.000000000E+00 -1.443826447E+02 -3.723297119E+00
 3.734700009E-02 0.000000000E+00 -1.484632721E+02 -4.300320625E+00
 3.752399981E-02 0.000000000E+00 -1.522719269E+02 -4.514244556E+00
 3.770099953E-02 0.000000000E+00 -1.556894531E+02 -4.899419785E+00
 3.787799925E-02 0.000000000E+00 -1.590392914E+02 -5.628272533E+00
 3.805499896E-02 0.000000000E+00 -1.621666718E+02 -6.238026142E+00
 3.823199868E-02 0.000000000E+00 -1.648768463E+02 -6.928426266E+00
 3.840899840E-02 0.000000000E+00 -1.668948212E+02 -7.729905128E+00
 3.858600184E-02 0.000000000E+00 -1.681305389E+02 -8.272703171E+00
 3.876300156E-02 0.000000000E+00 -1.688998871E+02 -8.475387573E+00
 3.894000128E-02 0.000000000E+00 -1.694055176E+02 -8.454748154E+00
 3.911700100E-02 0.000000000E+00 -1.696576538E+02 -8.359780312E+00
 3.929400072E-02 0.000000000E+00 -1.696968994E+02 -8.197896957E+00
 3.947100043E-02 0.000000000E+00 -1.695874329E+02 -7.986888885E+00
 3.964800015E-02 0.000000000E+00 -1.692608490E+02 -7.743952274E+00
 3.982499987E-02 0.000000000E+00 -1.686335297E+02 -7.433419704E+00
 4.000199959E-02 0.000000000E+00 -1.677289734E+02 -7.149403095E+00
 4.017899930E-02 0.000000000E+00 -1.665834656E+02 -7.085871220E+00
 4.035599902E-02 0.000000000E+00 -1.653621368E+02 -7.282274246E+00
 4.053299874E-02 0.000000000E+00 -1.640964966E+02 -7.572378635E+00
 4.070999846E-02 0.000000000E+00 -1.626742401E+02 -7.635299206E+00
 4.088699818E-02 0.000000000E+00 -1.610097809E+02 -7.424977779E+00
 4.106400162E-02 0.000000000E+00 -1.592270813E+02 -7.087663174E+00
 4.124100134E-02 0.000000000E+00 -1.574083405E+02 -6.697739601E+00
 4.141800106E-02 0.000000000E+00 -1.553386841E+02 -6.331999302E+00
 4.159500077E-02 0.000000000E+00 -1.529457245E+02 -5.972053528E+00
 4.177200049E-02 0.000000000E+00 -1.503810577E+02 -5.552930355E+00
 4.194900021E-02 0.000000000E+00 -1.476905823E+02 -5.179885387E+00
 4.212599993E-02 0.000000000E+00 -1.450361633E+02 -4.963932514E+00
 4.230299965E-02 0.000000000E+00 -1.424715576E+02 -4.614662647E+00
 4.247999936E-02 0.000000000E+00 -1.399374695E+02 -3.952861309E+00
 4.265699908E-02 0.000000000E+00 -1.375589905E+02 -3.146114349E+00
 4.283399880E-02 0.000000000E+00 -1.354050751E+02 -2.518682003E+00
 4.301099852E-02 0.000000000E+00 -1.334810333E+02 -2.128848076E+00
 4.318799824E-02 0.000000000E+00 -1.316245880E+02 -1.771873593E+00
 4.336500168E-02 0.000000000E+00 -1.297575684E+02 -1.477069020E+00
 4.354200140E-02 0.000000000E+00 -1.276097183E+02 -1.327086926E+00
 4.371900111E-02 0.000000000E+00 -1.251833267E+02 -1.684647322E+00
 4.389600083E-02 0.000000000E+00 -1.228915253E+02 -2.584688663E+00
 4.407300055E-02 0.000000000E+00 -1.206228180E+02 -3.374192476E+00
 4.425000027E-02 0.000000000E+00 -1.183557739E+02 -3.750051737E+00
 4.442699999E-02 0.000000000E+00 -1.160659943E+02 -3.842940807E+00
 4.460399970E-02 0.000000000E+00 -1.138425751E+02 -4.023046494E+00
 4.478099942E-02 0.000000000E+00 -1.118363495E+02 -4.622820377E+00
