TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.25mm"
 I=321, J=91, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 4.024999961E-02 0.000000000E+00 -1.524372959E+01 4.378670692E+00
 4.050000012E-02 0.000000000E+00 -2.847931862E+01 4.392680168E+00
 4.075000063E-02 0.000000000E+00 -4.119960785E+01 4.095664024E+00
 4.100000113E-02 0.000000000E+00 -5.330510330E+01 3.522920609E+00
 4.125000164E-02 0.000000000E+00 -6.456127930E+01 2.971312284E+00
 4.149999842E-02 0.000000000E+00 -7.470816803E+01 2.594590664E+00
 4.174999893E-02 0.000000000E+00 -8.390536499E+01 2.307934999E+00
 4.199999943E-02 0.000000000E+00 -9.252299500E+01 1.903608322E+00
 4.224999994E-02 0.000000000E+00 -1.006295013E+02 1.493859529E+00
 4.250000045E-02 0.000000000E+00 -1.078616180E+02 1.688199043E+00
 4.275000095E-02 0.000000000E+00 -1.142778931E+02 2.559191942E+00
 4.300000146E-02 0.000000000E+00 -1.201692581E+02 3.676640511E+00
 4.324999824E-02 0.000000000E+00 -1.253815079E+02 4.133275032E+00
 4.349999875E-02 0.000000000E+00 -1.296016235E+02 4.030217648E+00
 4.374999925E-02 0.000000000E+00 -1.326665802E+02 3.734985828E+00
 4.399999976E-02 0.000000000E+00 -1.344204407E+02 3.417739391E+00
 4.425000027E-02 0.000000000E+00 -1.351120605E+02 3.103513718E+00
 4.450000077E-02 0.000000000E+00 -1.351537781E+02 2.945876598E+00
 4.475000128E-02 0.000000000E+00 -1.345410461E+02 2.938177347E+00
 4.500000179E-02 0.000000000E+00 -1.333068848E+02 2.743777275E+00
 4.524999857E-02 0.000000000E+00 -1.316386566E+02 2.296336651E+00
 4.549999908E-02 0.000000000E+00 -1.295296936E+02 1.794797778E+00
 4.574999958E-02 0.000000000E+00 -1.271227493E+02 1.472123504E+00
 4.600000009E-02 0.000000000E+00 -1.246756516E+02 1.309926391E+00
 4.625000060E-02 0.000000000E+00 -1.219188995E+02 1.297376394E+00
 4.650000110E-02 0.000000000E+00 -1.194242249E+02 1.178583145E+00
 4.675000161E-02 0.000000000E+00 -1.172773209E+02 6.096738577E-01
 4.699999839E-02 0.000000000E+00 -1.151614380E+02 -1.037217677E-01
 4.724999890E-02 0.000000000E+00 -1.130279388E+02 -5.930207968E-01
 4.749999940E-02 0.000000000E+00 -1.102822037E+02 -1.085902452E+00
 4.774999991E-02 0.000000000E+00 -1.067616882E+02 -1.809628367E+00
 4.800000042E-02 0.000000000E+00 -1.028098907E+02 -2.641029119E+00
 4.825000092E-02 0.000000000E+00 -9.877317810E+01 -3.230089664E+00
 4.850000143E-02 0.000000000E+00 -9.495526123E+01 -3.467128277E+00
 4.874999821E-02 0.000000000E+00 -9.163018036E+01 -3.796535015E+00
 4.899999872E-02 0.000000000E+00 -8.880496216E+01 -4.202724934E+00
 4.924999923E-02 0.000000000E+00 -8.612868500E+01 -3.902512074E+00
 4.949999973E-02 0.000000000E+00 -8.337142944E+01 -3.300814629E+00
 4.975000024E-02 0.000000000E+00 -8.025211334E+01 -2.995721340E+00
 5.000000075E-02 0.000000000E+00 -7.639241028E+01 -2.647204399E+00
 5.025000125E-02 0.000000000E+00 -7.211779785E+01 -2.011294842E+00
 5.050000176E-02 0.000000000E+00 -6.770437622E+01 -1.209432006E+00
 5.074999854E-02 0.000000000E+00 -6.366479111E+01 -4.020711184E-01
 5.099999905E-02 0.000000000E+00 -6.017866898E+01 1.789094657E-01
 5.124999955E-02 0.000000000E+00 -5.662852097E+01 6.750979275E-02
 5.150000006E-02 0.000000000E+00 -5.286397171E+01 -5.659144521E-01
 5.175000057E-02 0.000000000E+00 -4.882683945E+01 -1.243558288E+00
 5.200000107E-02 0.000000000E+00 -4.459552765E+01 -2.027170420E+00
 5.225000158E-02 0.000000000E+00 -4.028480148E+01 -2.633241653E+00
 5.249999836E-02 0.000000000E+00 -3.606624985E+01 -2.643747330E+00
 5.274999887E-02 0.000000000E+00 -3.214552307E+01 -1.999447703E+00
 5.299999937E-02 0.000000000E+00 -2.876319122E+01 -1.162130713E+00
 5.324999988E-02 0.000000000E+00 -2.561827087E+01 -1.301899433E+00
 5.350000039E-02 0.000000000E+00 -2.230762100E+01 -2.332827091E+00
 5.375000089E-02 0.000000000E+00 -1.890124130E+01 -2.868502378E+00
 5.400000140E-02 0.000000000E+00 -1.487227917E+01 -2.199574232E+00
 5.424999818E-02 0.000000000E+00 -1.053204155E+01 -9.748336673E-01
 5.449999869E-02 0.000000000E+00 -6.427383423E+00 -1.944477409E-01
 5.474999920E-02 0.000000000E+00 -2.239992142E+00 -5.822167993E-01
 5.499999970E-02 0.000000000E+00 1.957453609E+00 -1.959920287E+00
 5.525000021E-02 0.000000000E+00 6.061469555E+00 -2.875958920E+00
 5.550000072E-02 0.000000000E+00 1.043189812E+01 -3.026518345E+00
 5.575000122E-02 0.000000000E+00 1.474814606E+01 -3.211787462E+00
 5.600000173E-02 0.000000000E+00 1.861701965E+01 -3.068829775E+00
 5.624999851E-02 0.000000000E+00 2.241345406E+01 -2.928199291E+00
 5.649999902E-02 0.000000000E+00 2.632227516E+01 -3.844301462E+00
 5.674999952E-02 0.000000000E+00 3.056136894E+01 -5.317864418E+00
 5.700000003E-02 0.000000000E+00 3.483592987E+01 -6.430957794E+00
 5.725000054E-02 0.000000000E+00 3.900488281E+01 -7.453197956E+00
 5.750000104E-02 0.000000000E+00 4.342361069E+01 -8.238858223E+00
 5.775000155E-02 0.000000000E+00 4.792630005E+01 -8.605363846E+00
 5.799999833E-02 0.000000000E+00 5.230517197E+01 -8.518199921E+00
 5.824999884E-02 0.000000000E+00 5.638047409E+01 -7.746388912E+00
 5.849999934E-02 0.000000000E+00 6.014765930E+01 -7.201883793E+00
 5.874999985E-02 0.000000000E+00 6.384027863E+01 -7.046196938E+00
 5.900000036E-02 0.000000000E+00 6.757767487E+01 -6.448414803E+00
 5.925000086E-02 0.000000000E+00 7.112212372E+01 -5.294238091E+00
 5.950000137E-02 0.000000000E+00 7.444677734E+01 -3.999908686E+00
 5.974999815E-02 0.000000000E+00 7.779793549E+01 -2.977076530E+00
 5.999999866E-02 0.000000000E+00 8.167364502E+01 -2.202494860E+00
 6.024999917E-02 0.000000000E+00 8.600006104E+01 -1.585816145E+00
 6.049999967E-02 0.000000000E+00 9.032422638E+01 -1.074088216E+00
 6.075000018E-02 0.000000000E+00 9.444915771E+01 -6.565725803E-01
 6.100000069E-02 0.000000000E+00 9.814895630E+01 -3.479947150E-01
 6.125000119E-02 0.000000000E+00 1.017117920E+02 9.922438860E-02
 6.150000170E-02 0.000000000E+00 1.053370132E+02 5.677155256E-01
 6.174999848E-02 0.000000000E+00 1.089414597E+02 7.485244870E-01
 6.199999899E-02 0.000000000E+00 1.126412811E+02 9.426944256E-01
 6.224999949E-02 0.000000000E+00 1.164618988E+02 1.272915483E+00
 6.250000000E-02 0.000000000E+00 1.203481445E+02 1.542640805E+00
 6.274999678E-02 0.000000000E+00 1.242305145E+02 1.730910420E+00
 6.300000101E-02 0.000000000E+00 1.279735794E+02 1.876775026E+00
 6.324999779E-02 0.000000000E+00 1.314720306E+02 1.945238233E+00
 6.350000203E-02 0.000000000E+00 1.347066345E+02 1.744360685E+00
 6.374999881E-02 0.000000000E+00 1.377957001E+02 1.378294706E+00
 6.400000304E-02 0.000000000E+00 1.409020844E+02 1.091111422E+00
 6.424999982E-02 0.000000000E+00 1.441020813E+02 9.693815708E-01
